Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100%;6.682196168325835;46.55956189112911;fr;01.07.2008
Lausanne 26;1000;26;126;Lausanne;5586;VD;100%;6.695945346653699;46.554578943900474;fr;01.07.2008
Lausanne 27;1000;27;127;Lausanne;5586;VD;100%;6.681736656357112;46.542097581525205;fr;01.07.2008
Lausanne;1003;00;150;Lausanne;5586;VD;100%;6.631889939736285;46.520568420793055;fr;01.07.2008
Lausanne;1004;00;151;Lausanne;5586;VD;100%;6.618662406135503;46.52828218906587;fr;01.07.2008
Lausanne;1005;00;152;Lausanne;5586;VD;100%;6.642767210311616;46.520888147719276;fr;01.07.2008
Lausanne;1006;00;153;Lausanne;5586;VD;100%;6.633777063120928;46.512863192411494;fr;01.07.2008
Lausanne;1007;00;154;Lausanne;5586;VD;100%;6.613581143143201;46.51789984112268;fr;01.07.2008
Prilly;1008;00;156;Prilly;5589;VD;100%;6.604480669356251;46.536761096406835;fr;01.07.2008
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100%;6.595168883379037;46.54953871377771;fr;01.07.2008
Pully;1009;00;157;Pully;5590;VD;100%;6.660755255631781;46.512502664249396;fr;01.07.2008
Lausanne;1010;00;158;Lausanne;5586;VD;100%;6.652418212716733;46.53742721167361;fr;01.07.2008
Lausanne;1011;00;159;Lausanne;5586;VD;100%;6.643951538;46.525430465313775;fr;01.07.2008
Lausanne;1012;00;160;Lausanne;5586;VD;100%;6.654688705860694;46.52649473363582;fr;01.07.2008
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.03%;6.5667170264870975;46.51963643082917;fr;01.07.2008
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.33%;6.584587844328571;46.519403529867574;fr;01.07.2008
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.64%;6.584310743;46.52291893205492;fr;01.07.2008
Lausanne;1018;00;164;Lausanne;5586;VD;100%;6.629456814023411;46.53510674300492;fr;01.07.2008
Renens VD;1020;00;165;Renens (VD);5591;VD;100%;6.589432084021981;46.537890947170645;fr;01.07.2008
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100%;6.575252591297912;46.531909477890046;fr;01.07.2008
Crissier;1023;00;169;Crissier;5583;VD;99.15%;6.577555613225668;46.55344572883954;fr;01.07.2008
Crissier;1023;00;169;Lausanne;5586;VD;0.85%;6.589569651957258;46.55900585995713;fr;01.07.2008
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100%;6.559879163881748;46.524999363805435;fr;01.07.2008
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100%;6.562448672223655;46.51282043804615;fr;01.07.2008
Denges;1026;02;5854;Denges;5632;VD;100%;6.539672380971541;46.52058586647807;fr;01.07.2008
Echandens;1026;03;6230;Echandens;5633;VD;100%;6.541925424678625;46.53560933492887;fr;01.07.2008
Lonay;1027;00;174;Lonay;5638;VD;100%;6.519084335310371;46.52652031;fr;01.07.2008
Préverenges;1028;00;175;Préverenges;5643;VD;100%;6.5287901177136645;46.51594703782082;fr;01.07.2008
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100%;6.5635865333865295;46.567309919939994;fr;01.07.2008
